Stock,Species,Areas,AreaType,StockDescription
agn.27.nea,AGN,27.10.a.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.10.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.10.a.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.10.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.b.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.b.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.a.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.a.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.a.3,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.a.4,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.a.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.14.b.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.14.b.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.a.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.outFU,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.outFU,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.a.outFU,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.b.outFU,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.b.1.a,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.5.b.1.b,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.c,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4.a,IC_Divisions,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4.a.e,IC_Sub-divisions,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4.a.w,IC_Sub-divisions,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.6,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.7,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.8,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.9,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.10,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.12,IC_Sub-areas,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4.b,IC_Divisions,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
alf.27.nea,ALF,27.4.c,IC_Divisions,Alfonsinos (Beryx spp.) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
