AphiaId,AphiaId_Desc,ICES_Vocab_CodeType_Worms_AphiaId,ASFIS_Code,ASFIS_Code_Desc,ICES_Vocab_CodeType_FAO_ASFIS
126719,Bathylagus euryops,SpecWoRMS,BBE,Bathylagus euryops,SpecASFIS
158667,Alosa aestivalis,SpecWoRMS,BBH,Alosa aestivalis,SpecASFIS
127247,Scorpaena porcus,SpecWoRMS,BBS,Scorpaena porcus,SpecASFIS
137122,Mesoplodon densirostris,SpecWoRMS,BBW,Mesoplodon densirostris,SpecASFIS
138865,Buccinum humphreysianum,SpecWoRMS,BCP,Buccinum humphreysianum,SpecASFIS
137127,Ziphius cavirostris,SpecWoRMS,BCW,Ziphius cavirostris,SpecASFIS
127086,Benthodesmus elongatus,SpecWoRMS,BDL,Benthodesmus elongatus,SpecASFIS
273541,Bodianus rufus,SpecWoRMS,BDR,Bodianus rufus,SpecASFIS
126342,Bathypterois dubius,SpecWoRMS,BDU,Bathypterois dubius,SpecASFIS
231430,Mesoplodon bowdoini,SpecWoRMS,BDW,Mesoplodon bowdoini,SpecASFIS
126096,Benthodesmus,SpecWoRMS,BEH,Benthodesmus spp,SpecASFIS
137115,Delphinapterus leucas,SpecWoRMS,BEL,Delphinapterus leucas,SpecASFIS
125451,Belonidae,SpecWoRMS,BEN,Belonidae,SpecASFIS
293729,Sarda chiliensis,SpecWoRMS,BEP,Sarda chiliensis,SpecASFIS
279987,Brachypterois serrulata,SpecWoRMS,BER,Brachypterois serrulata,SpecASFIS
125688,Belone,SpecWoRMS,BES,Belone spp,SpecASFIS
127028,Thunnus obesus,SpecWoRMS,BET,Thunnus obesus,SpecASFIS
242608,Berardius bairdii,SpecWoRMS,BEW,Berardius bairdii,SpecASFIS
600490,Perumytilus purpuratus,SpecWoRMS,BFF,Perumytilus purpuratus,SpecASFIS
1383091,Benthophilus baeri,SpecWoRMS,BFR,Benthophilus baeri,SpecASFIS
127029,Thunnus thynnus,SpecWoRMS,BFT,Thunnus thynnus,SpecASFIS
125418,Paragorgia arborea,SpecWoRMS,BFU,Paragorgia arborea,SpecASFIS
125419,Paragorgia johnsoni,SpecWoRMS,BFV,Paragorgia johnsoni,SpecASFIS
231405,Balaenoptera bonaerensis,SpecWoRMS,BFW,Balaenoptera bonaerensis,SpecASFIS
126462,Bathygadus favosus,SpecWoRMS,BFZ,Bathygadus favosus,SpecASFIS
126947,Pomadasys incisus,SpecWoRMS,BGR,Pomadasys incisus,SpecASFIS
137123,Mesoplodon europaeus,SpecWoRMS,BGW,Mesoplodon europaeus,SpecASFIS
126011,Pomadasys,SpecWoRMS,BGX,Pomadasys spp,SpecASFIS
126374,Halobatrachus didactylus,SpecWoRMS,BHD,Halobatrachus didactylus,SpecASFIS
126580,Benthosema glaciale,SpecWoRMS,BHG,Benthosema glaciale,SpecASFIS
137125,Mesoplodon hectori,SpecWoRMS,BHW,Mesoplodon hectori,SpecASFIS
126445,Trisopterus luscus,SpecWoRMS,BIB,Trisopterus luscus,SpecASFIS
