OBJECTID,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,stat_x,stat_y,Area_27,Perc,MaxPer,RNDMaxPer,AreasList,Shape_Leng,Shape_Area
7265,4809.00000000000,07F5,39.00000000000,5.00000000000,39.50000000000,6.00000000000,4792,5.50000000000,39.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7266,4810.00000000000,08F5,39.50000000000,5.00000000000,40.00000000000,6.00000000000,4758,5.50000000000,39.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7267,4811.00000000000,09F5,40.00000000000,5.00000000000,40.50000000000,6.00000000000,4724,5.50000000000,40.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7268,4812.00000000000,10F5,40.50000000000,5.00000000000,41.00000000000,6.00000000000,4689,5.50000000000,40.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7269,4813.00000000000,11F5,41.00000000000,5.00000000000,41.50000000000,6.00000000000,4654,5.50000000000,41.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7270,4814.00000000000,12F5,41.50000000000,5.00000000000,42.00000000000,6.00000000000,4619,5.50000000000,41.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7271,4815.00000000000,13F5,42.00000000000,5.00000000000,42.50000000000,6.00000000000,4583,5.50000000000,42.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7272,4816.00000000000,14F5,42.50000000000,5.00000000000,43.00000000000,6.00000000000,4547,5.50000000000,42.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7273,4817.00000000000,15F5,43.00000000000,5.00000000000,43.50000000000,6.00000000000,4511,5.50000000000,43.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7274,4818.00000000000,16F5,43.50000000000,5.00000000000,44.00000000000,6.00000000000,4474,5.50000000000,43.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7275,4819.00000000000,17F5,44.00000000000,5.00000000000,44.50000000000,6.00000000000,4437,5.50000000000,44.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7276,4820.00000000000,18F5,44.50000000000,5.00000000000,45.00000000000,6.00000000000,4400,5.50000000000,44.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7277,4821.00000000000,19F5,45.00000000000,5.00000000000,45.50000000000,6.00000000000,4362,5.50000000000,45.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7278,4822.00000000000,20F5,45.50000000000,5.00000000000,46.00000000000,6.00000000000,4324,5.50000000000,45.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7279,4823.00000000000,21F5,46.00000000000,5.00000000000,46.50000000000,6.00000000000,4286,5.50000000000,46.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7280,4824.00000000000,22F5,46.50000000000,5.00000000000,47.00000000000,6.00000000000,4247,5.50000000000,46.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7281,4825.00000000000,23F5,47.00000000000,5.00000000000,47.50000000000,6.00000000000,4208,5.50000000000,47.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7282,4826.00000000000,24F5,47.50000000000,5.00000000000,48.00000000000,6.00000000000,4169,5.50000000000,47.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7283,4827.00000000000,25F5,48.00000000000,5.00000000000,48.50000000000,6.00000000000,4129,5.50000000000,48.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7284,4828.00000000000,26F5,48.50000000000,5.00000000000,49.00000000000,6.00000000000,4089,5.50000000000,48.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7285,4829.00000000000,27F5,49.00000000000,5.00000000000,49.50000000000,6.00000000000,4048,5.50000000000,49.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7286,4830.00000000000,28F5,49.50000000000,5.00000000000,50.00000000000,6.00000000000,4008,5.50000000000,49.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
