"Area_27","ICESNAME","Area"
"14.a","85C9","27.14.a"
"14.a","86C9","27.14.a"
"14.a","87C9","27.14.a"
"14.a","88C9","27.14.a"
"14.a","89C9","27.14.a"
"14.a","90C9","27.14.a"
"14.a","91C9","27.14.a"
"14.a","92C9","27.14.a"
"14.a","93C9","27.14.a"
"14.a","94C9","27.14.a"
"14.a","95C9","27.14.a"
"14.a","96C9","27.14.a"
"14.a","97C9","27.14.a"
"14.a","98C9","27.14.a"
"10.a.1","01D0","27.10.a.1"
"10.a.1","02D0","27.10.a.1"
"10.a.1","03D0","27.10.a.1"
"10.a.1","04D0","27.10.a.1"
"10.a.1","05D0","27.10.a.1"
"10.a.1","06D0","27.10.a.1"
"10.a.1","07D0","27.10.a.1"
"10.a.1","08D0","27.10.a.1"
"10.a.1","09D0","27.10.a.1"
"10.a.1","10D0","27.10.a.1"
"10.a.1","11D0","27.10.a.1"
"10.a.1","12D0","27.10.a.1"
"10.a.1","13D0","27.10.a.1"
"10.a.1","14D0","27.10.a.1"
"10.b","15D0","27.10.b"
"10.b","16D0","27.10.b"
"10.b","17D0","27.10.b"
"10.b","18D0","27.10.b"
"10.b","19D0","27.10.b"
"10.b","20D0","27.10.b"
"10.b","21D0","27.10.b"
"10.b","22D0","27.10.b"
"10.b","23D0","27.10.b"
"10.b","24D0","27.10.b"
"12.c","25D0","27.12.c"
"12.c","26D0","27.12.c"
"12.c","27D0","27.12.c"
"12.c","28D0","27.12.c"
"12.c","29D0","27.12.c"
"12.c","30D0","27.12.c"
"12.c","31D0","27.12.c"
"12.c","32D0","27.12.c"
"12.c","33D0","27.12.c"
"12.a.1","34D0","27.12.a.1"
"12.a.1","35D0","27.12.a.1"
"12.a.1","36D0","27.12.a.1"
"12.a.1","37D0","27.12.a.1"
"12.b","38D0","27.12.b"
"12.b","39D0","27.12.b"
"12.b","40D0","27.12.b"
"12.b","41D0","27.12.b"
"12.b","42D0","27.12.b"
"12.b","43D0","27.12.b"
"12.b","44D0","27.12.b"
"12.b","45D0","27.12.b"
"12.b","46D0","27.12.b"
"12.b","47D0","27.12.b"
"12.b","48D0","27.12.b"
"12.a.4","50D0","27.12.a.4"
"12.a.4","51D0","27.12.a.4"
"12.a.4","52D0","27.12.a.4"
"5.a.2","53D0","27.5.a.2"
"5.a.2","54D0","27.5.a.2"
"5.a.2","55D0","27.5.a.2"
"5.a.2","56D0","27.5.a.2"
"5.a.2","57D0","27.5.a.2"
"5.a.2","60D0","27.5.a.2"
"5.a.2","61D0","27.5.a.2"
"5.a.2","62D0","27.5.a.2"
"5.a.2","63D0","27.5.a.2"
"5.a.2","64D0","27.5.a.2"
"14.a","65D0","27.14.a"
"14.a","66D0","27.14.a"
"14.a","67D0","27.14.a"
"14.a","68D0","27.14.a"
"14.a","69D0","27.14.a"
"14.a","70D0","27.14.a"
"14.a","71D0","27.14.a"
"14.a","72D0","27.14.a"
"14.a","73D0","27.14.a"
"14.a","74D0","27.14.a"
"14.a","75D0","27.14.a"
"14.a","76D0","27.14.a"
"14.a","77D0","27.14.a"
"14.a","78D0","27.14.a"
"14.a","79D0","27.14.a"
"14.a","80D0","27.14.a"
"14.a","81D0","27.14.a"
"14.a","82D0","27.14.a"
"14.a","83D0","27.14.a"
"14.a","84D0","27.14.a"
"14.a","85D0","27.14.a"
"14.a","86D0","27.14.a"
"14.a","87D0","27.14.a"
"14.a","88D0","27.14.a"
"14.a","89D0","27.14.a"
"14.a","90D0","27.14.a"
"14.a","91D0","27.14.a"
"14.a","92D0","27.14.a"
"14.a","93D0","27.14.a"
"14.a","94D0","27.14.a"
"14.a","95D0","27.14.a"
"14.a","96D0","27.14.a"
"14.a","97D0","27.14.a"
"14.a","98D0","27.14.a"
"10.a.1","01D1","27.10.a.1"
"10.a.1","02D1","27.10.a.1"
"10.a.1","03D1","27.10.a.1"
"10.a.1","04D1","27.10.a.1"
"10.a.1","05D1","27.10.a.1"
"10.a.1","06D1","27.10.a.1"
"10.a.1","07D1","27.10.a.1"
"10.a.1","08D1","27.10.a.1"
"10.a.1","09D1","27.10.a.1"
"10.a.1","10D1","27.10.a.1"
"10.a.1","11D1","27.10.a.1"
"10.a.1","12D1","27.10.a.1"
"10.a.1","13D1","27.10.a.1"
"10.a.1","14D1","27.10.a.1"
"10.b","15D1","27.10.b"
"10.b","16D1","27.10.b"
"10.b","17D1","27.10.b"
"10.b","18D1","27.10.b"
"10.b","19D1","27.10.b"
"10.b","20D1","27.10.b"
"10.b","21D1","27.10.b"
"10.b","22D1","27.10.b"
"10.b","23D1","27.10.b"
"10.b","24D1","27.10.b"
"12.c","25D1","27.12.c"
"12.c","26D1","27.12.c"
"12.c","27D1","27.12.c"
"12.c","28D1","27.12.c"
"12.c","29D1","27.12.c"
"12.c","30D1","27.12.c"
"12.c","31D1","27.12.c"
"12.c","32D1","27.12.c"
"12.c","33D1","27.12.c"
"12.a.1","34D1","27.12.a.1"
"12.a.1","35D1","27.12.a.1"
"12.a.1","36D1","27.12.a.1"
"12.a.1","37D1","27.12.a.1"
"12.b","38D1","27.12.b"
"12.b","39D1","27.12.b"
"12.b","40D1","27.12.b"
"12.b","41D1","27.12.b"
"12.b","42D1","27.12.b"
"12.b","43D1","27.12.b"
"12.b","44D1","27.12.b"
"12.b","45D1","27.12.b"
"12.b","46D1","27.12.b"
"12.b","47D1","27.12.b"
"12.b","48D1","27.12.b"
"12.a.4","50D1","27.12.a.4"
"12.a.4","51D1","27.12.a.4"
"12.a.4","52D1","27.12.a.4"
"5.a.2","53D1","27.5.a.2"
"5.a.2","54D1","27.5.a.2"
"5.a.2","55D1","27.5.a.2"
"5.a.2","56D1","27.5.a.2"
"5.a.2","60D1","27.5.a.2"
"5.a.2","61D1","27.5.a.2"
"5.a.2","62D1","27.5.a.2"
"5.a.2","63D1","27.5.a.2"
"5.a.2","64D1","27.5.a.2"
"14.a","65D1","27.14.a"
"14.a","66D1","27.14.a"
"14.a","67D1","27.14.a"
"14.a","68D1","27.14.a"
"14.a","69D1","27.14.a"
"14.a","70D1","27.14.a"
"14.a","71D1","27.14.a"
"14.a","72D1","27.14.a"
"14.a","73D1","27.14.a"
"14.a","74D1","27.14.a"
"14.a","75D1","27.14.a"
"14.a","76D1","27.14.a"
"14.a","77D1","27.14.a"
"14.a","78D1","27.14.a"
"14.a","79D1","27.14.a"
"14.a","80D1","27.14.a"
"14.a","81D1","27.14.a"
"14.a","82D1","27.14.a"
